objectID*,cazaID,Caza_Name,YearMonthDay,Syrian_Ref,Population,Ethnicity,Shape_Length,Shape_Area,Sunni,Shia_Nexus,Christian,FracIndx,Majority_Group,Pal_Ref_Syr,Pal_Ref,Inc_Index,Dist_Bord_km,Dist_Cap_km,Syr_Cross,Rainfall_mm,Water_Incdex,Illiteracy
33,7,El Koura,20130430,8218,"4,082",0,0.90837981,0.017036429,0,0,3,0,Christian,0,0,34,45.838055,55.622361,0,36.9,53.9,9
38,12,El Meten,20130430,6732,740,0,1.10949199,0.025852128,0,0,1,0,Christian,657,4351,28.6,33.564177,19.41733,0,33,6.8,9
29,3,El Minieh Dennie,20130430,28865,"4,389",1,1.386036482,0.035508031,3,0,0,0,Sunni,2046,16500,57.4,29.635658,73.874987,0,36.9,23.9,25
48,22,El Nabatieh,20130430,5927,"2,075",0,1.499313463,0.029458334,0,3,0,0,Shia,145,0,52,43.513107,55.50873,0,13.1,8.4,15
49,23,Hasbaya,20130430,119,614,1,0.947383486,0.025566504,0,1,0,0,Shia,0,0,53.8,21.555707,19.41733,0,33,18.7,16
36,10,Jbeil,20130430,430,441,1,1.333202214,0.041396799,0,1,2,0,Christian,0,0,33.7,42.359256,38.611687,0,33,15.8,12
46,20,Jezzine,20130430,345,259,0,1.395362965,0.023233271,0,0,3,0,Christian,0,0,46.9,35.364942,43.77481,0,25,11,14
37,11,Kesrwane,20130430,1387,311,0,1.280370712,0.03348588,0,0,5,0,Christian,164,0,21.2,35.554401,28.075079,0,33,5.8,8
50,24,Marjayoun,20130430,699,746,1,1.16529485,0.025340993,1,2,1,50,Shia,72,0,67.7,41.139924,68.81131,0,13.1,27.8,24
45,19,Rachaya,20130430,4527,85,0,1.490800374,0.053370977,0,1,0,0,Shia,0,0,51.9,7.847992,52.350942,1,33,24.1,14
47,21,Saida,20130430,15055,"8,988",2,1.691540193,0.026566716,2,2,1,100,Sunni-Shia,6045,59366,48.7,52.064769,50.700823,0,13.1,4.2,12
51,25,Sour,20130430,6868,"2,630",4,1.422224099,0.039492419,2,4,0,50,Shia,3559,65521,57.1,64.977793,77.925977,0,13.1,15,17
30,4,Tripoli,20130430,39336,"15,574",1,0.378143311,0.002360873,6,1,0,17,Sunni,149,0,50.9,34.866765,67.551419,0,36.9,3.6,14
43,17,West Bekaa,20130430,21640,"3,299",1,1.81004053,0.041346865,2,1,2,50,Sunni-Christian,475,0,49.1,17.822217,38.258904,1,33,6,16
39,13,Zahle,20130430,57647,"1,715",1,1.436099311,0.042478554,1,1,5,100,Christian,2640,0,44.1,9.580984,39.925452,1,33,5.6,12
31,5,Zgharta,20130430,6200,371,0,1.017068733,0.017382926,0,0,3,0,Christian,0,0,45.9,33.535049,64.511744,0,36.9,12.7,15
53,1,Akkar,20130531,61508,948,6,1.814552001,0.077486295,3,1,3,33,Sunni-Christian,1779,5857,62.1,9.793291,96.452576,3,9.3,31.9,30
68,16,Aley,20130531,10857,"1,552",0,1.257056328,0.025613854,0,2,3,0,Sunni-Christian,376,0,35.4,34.244362,16.39286,0,12.8,23.5,8
67,15,Baabda,20130531,17778,24,2,1.13148525,0.018996845,0,3,3,0,Shia-Christian,2740,17945,41,32.209187,16.310365,0,12.8,33.7,11
58,6,Baalbek,20130531,42638,567,8,3.072026614,0.226664239,2,4,0,50,Sunni-Shia,256,8806,57.7,14.839836,74.0737,1,7.62,28.1,18
61,9,Bcharre,20130531,885,375,1,0.973276132,0.016045961,0,0,3,0,Christian,0,0,51.5,43.997805,60.008049,0,9.3,17,20
66,14,Beirut,20130531,11823,"18,565",1,0.341848904,0.002070821,6,3,9,50,Sunni-Christian-Shia,1212,10504,35.2,48.947627,0,0,12.8,2.6,9
78,26,Bent Jbeil,20130531,2640,821,0,1.098496896,0.026099903,0,3,0,0,Shia,896,0,61.7,58.293626,82.472276,0,2.5,54.5,16
70,18,Chouf,20130531,16514,"7,436",2,1.739152947,0.046755258,2,2,4,100,Christian,1634,0,40.2,34.464741,26.661742,0,12.8,8.6,12
60,8,El Batroun,20130531,6576,"8,346",0,1.555127243,0.027290013,0,0,2,0,Christian,0,0,39.4,51.656298,46.765302,0,9.3,25.3,15
54,2,El Hermel,20130531,3858,"3,094",2,1.340072955,0.051881451,0,2,1,0,Shia,0,0,68.1,16.999875,92.293373,0,9.3,33.1,23
59,7,El Koura,20130531,9057,"4,082",0,0.90837981,0.017036429,0,0,3,0,Christian,0,0,34,45.838055,55.622361,0,9.3,53.9,9
64,12,El Meten,20130531,9840,740,0,1.10949199,0.025852128,0,0,1,0,Christian,753,4351,28.6,33.564177,19.41733,0,7.62,6.8,9
55,3,El Minieh Dennie,20130531,32072,"4,389",1,1.386036482,0.035508031,3,0,0,0,Sunni,2387,16500,57.4,29.635658,73.874987,0,9.3,23.9,25
74,22,El Nabatieh,20130531,9726,"2,075",0,1.499313463,0.029458334,0,3,0,0,Shia,176,0,52,43.513107,55.50873,0,2.5,8.4,15
75,23,Hasbaya,20130531,1103,614,1,0.947383486,0.025566504,0,1,0,0,Shia,0,0,53.8,21.555707,19.41733,0,7.62,18.7,16
62,10,Jbeil,20130531,598,441,1,1.333202214,0.041396799,0,1,2,0,Christian,0,0,33.7,42.359256,38.611687,0,7.62,15.8,12
72,20,Jezzine,20130531,537,259,0,1.395362965,0.023233271,0,0,3,0,Christian,0,0,46.9,35.364942,43.77481,0,12.8,11,14
63,11,Kesrwane,20130531,1715,311,0,1.280370712,0.03348588,0,0,5,0,Christian,188,0,21.2,35.554401,28.075079,0,7.62,5.8,8
76,24,Marjayoun,20130531,1323,746,1,1.16529485,0.025340993,1,2,1,50,Shia,88,0,67.7,41.139924,68.81131,0,2.5,27.8,24
71,19,Rachaya,20130531,5354,85,0,1.490800374,0.053370977,0,1,0,0,Shia,0,0,51.9,7.847992,52.350942,1,7.62,24.1,14
73,21,Saida,20130531,21669,"8,988",2,1.691540193,0.026566716,2,2,1,100,Sunni-Shia,7208,59366,48.7,52.064769,50.700823,0,2.5,4.2,12
77,25,Sour,20130531,11434,"2,630",4,1.422224099,0.039492419,2,4,0,50,Shia,4321,65521,57.1,64.977793,77.925977,0,2.5,15,17
56,4,Tripoli,20130531,43320,"15,574",1,0.378143311,0.002360873,6,1,0,17,Sunni,174,0,50.9,34.866765,67.551419,0,9.3,3.6,14
69,17,West Bekaa,20130531,27335,"3,299",1,1.81004053,0.041346865,2,1,2,50,Sunni-Christian,577,0,49.1,17.822217,38.258904,1,7.62,6,16
65,13,Zahle,20130531,66233,"1,715",1,1.436099311,0.042478554,1,1,5,100,Christian,3205,0,44.1,9.580984,39.925452,1,7.62,5.6,12
57,5,Zgharta,20130531,6900,371,0,1.017068733,0.017382926,0,0,3,0,Christian,0,0,45.9,33.535049,64.511744,0,9.3,12.7,15
79,1,Akkar,20130610,63592,948,6,1.814552001,0.077486295,3,1,3,33,Sunni-Christian,2181,5857,62.1,9.793291,96.452576,3,0,31.9,30
94,16,Aley,20130610,11966,"1,552",0,1.257056328,0.025613854,0,2,3,0,Sunni-Christian,461,0,35.4,34.244362,16.39286,0,2.5,23.5,8
93,15,Baabda,20130610,63592,24,2,1.13148525,0.018996845,0,3,3,0,Shia-Christian,3359,17945,41,32.209187,16.310365,0,2.5,33.7,11
84,6,Baalbek,20130610,45080,567,8,3.072026614,0.226664239,2,4,0,50,Sunni-Shia,269,8806,57.7,14.839836,74.0737,1,0,28.1,18
87,9,Bcharre,20130610,934,375,1,0.973276132,0.016045961,0,0,3,0,Christian,0,0,51.5,43.997805,60.008049,0,0,17,20
92,14,Beirut,20130610,11326,"18,565",1,0.341848904,0.002070821,6,3,9,50,Sunni-Christian-Shia,1486,10504,35.2,48.947627,0,0,2.5,2.6,9
104,26,Bent Jbeil,20130610,2930,821,0,1.098496896,0.026099903,0,3,0,0,Shia,1098,0,61.7,58.293626,82.472276,0,0,54.5,16
96,18,Chouf,20130610,18842,"7,436",2,1.739152947,0.046755258,2,2,4,100,Christian,2003,0,40.2,34.464741,26.661742,0,2.5,8.6,12
86,8,El Batroun,20130610,6788,"8,346",0,1.555127243,0.027290013,0,0,2,0,Christian,0,0,39.4,51.656298,46.765302,0,0,25.3,15
80,2,El Hermel,20130610,3860,"3,094",2,1.340072955,0.051881451,0,2,1,0,Shia,0,0,68.1,16.999875,92.293373,0,0,33.1,23
85,7,El Koura,20130610,9281,"4,082",0,0.90837981,0.017036429,0,0,3,0,Christian,0,0,34,45.838055,55.622361,0,0,53.9,9
90,12,El Meten,20130610,10751,740,0,1.10949199,0.025852128,0,0,1,0,Christian,923,4351,28.6,33.564177,19.41733,0,0,6.8,9
81,3,El Minieh Dennie,20130610,32764,"4,389",1,1.386036482,0.035508031,3,0,0,0,Sunni,2926,16500,57.4,29.635658,73.874987,0,0,23.9,25
100,22,El Nabatieh,20130610,10368,"2,075",0,1.499313463,0.029458334,0,3,0,0,Shia,215,0,52,43.513107,55.50873,0,0,8.4,15
101,23,Hasbaya,20130610,1136,614,1,0.947383486,0.025566504,0,1,0,0,Shia,0,0,53.8,21.555707,19.41733,0,0,18.7,16
88,10,Jbeil,20130610,635,441,1,1.333202214,0.041396799,0,1,2,0,Christian,0,0,33.7,42.359256,38.611687,0,0,15.8,12
98,20,Jezzine,20130610,611,259,0,1.395362965,0.023233271,0,0,3,0,Christian,0,0,46.9,35.364942,43.77481,0,2.5,11,14
89,11,Kesrwane,20130610,1802,311,0,1.280370712,0.03348588,0,0,5,0,Christian,231,0,21.2,35.554401,28.075079,0,0,5.8,8
102,24,Marjayoun,20130610,1450,746,1,1.16529485,0.025340993,1,2,1,50,Shia,108,0,67.7,41.139924,68.81131,0,0,27.8,24
97,19,Rachaya,20130610,5530,85,0,1.490800374,0.053370977,0,1,0,0,Shia,0,0,51.9,7.847992,52.350942,1,0,24.1,14
99,21,Saida,20130610,22730,"8,988",2,1.691540193,0.026566716,2,2,1,100,Sunni-Shia,8835,59366,48.7,52.064769,50.700823,0,0,4.2,12
103,25,Sour,20130610,12591,"2,630",4,1.422224099,0.039492419,2,4,0,50,Shia,5297,65521,57.1,64.977793,77.925977,0,0,15,17
82,4,Tripoli,20130610,44401,"15,574",1,0.378143311,0.002360873,6,1,0,17,Sunni,213,0,50.9,34.866765,67.551419,0,0,3.6,14
95,17,West Bekaa,20130610,28418,"3,299",1,1.81004053,0.041346865,2,1,2,50,Sunni-Christian,606,0,49.1,17.822217,38.258904,1,0,6,16
91,13,Zahle,20130610,69651,"1,715",1,1.436099311,0.042478554,1,1,5,100,Christian,3365,0,44.1,9.580984,39.925452,1,0,5.6,12
83,5,Zgharta,20130610,7200,371,0,1.017068733,0.017382926,0,0,3,0,Christian,0,0,45.9,33.535049,64.511744,0,0,12.7,15
105,1,Akkar,20130731,72100,948,6,1.814552001,0.077486295,3,1,3,33,Sunni-Christian,3010,5857,62.1,9.793291,96.452576,3,13.2,31.9,30
120,16,Aley,20130731,17585,"1,552",0,1.257056328,0.025613854,0,2,3,0,Sunni-Christian,500,0,35.4,34.244362,16.39286,0,0,23.5,8
119,15,Baabda,20130731,30456,24,2,1.13148525,0.018996845,0,3,3,0,Shia-Christian,3642,17945,41,32.209187,16.310365,0,0,33.7,11
110,6,Baalbek,20130731,55544,567,8,3.072026614,0.226664239,2,4,0,50,Sunni-Shia,272,8806,57.7,14.839836,74.0737,1,0,28.1,18
113,9,Bcharre,20130731,1178,375,1,0.973276132,0.016045961,0,0,3,0,Christian,0,0,51.5,43.997805,60.008049,0,13.2,17,20
118,14,Beirut,20130731,12584,"18,565",1,0.341848904,0.002070821,6,3,9,50,Sunni-Christian-Shia,1610,10504,35.2,48.947627,0,0,0,2.6,9
130,26,Bent Jbeil,20130731,4111,821,0,1.098496896,0.026099903,0,3,0,0,Shia,1440,0,61.7,58.293626,82.472276,0,0,54.5,16
122,18,Chouf,20130731,25349,"7,436",2,1.739152947,0.046755258,2,2,4,100,Christian,2320,0,40.2,34.464741,26.661742,0,0,8.6,12
112,8,El Batroun,20130731,8797,"8,346",0,1.555127243,0.027290013,0,0,2,0,Christian,0,0,39.4,51.656298,46.765302,0,13.2,25.3,15
106,2,El Hermel,20130731,4069,"3,094",2,1.340072955,0.051881451,0,2,1,0,Shia,0,0,68.1,16.999875,92.293373,0,13.2,33.1,23
111,7,El Koura,20130731,10671,"4,082",0,0.90837981,0.017036429,0,0,3,0,Christian,0,0,34,45.838055,55.622361,0,13.2,53.9,9
116,12,El Meten,20130731,15926,740,0,1.10949199,0.025852128,0,0,1,0,Christian,1000,4351,28.6,33.564177,19.41733,0,0,6.8,9
107,3,El Minieh Dennie,20130731,38208,"4,389",1,1.386036482,0.035508031,3,0,0,0,Sunni,3984,16500,57.4,29.635658,73.874987,0,13.2,23.9,25
126,22,El Nabatieh,20130731,14578,"2,075",0,1.499313463,0.029458334,0,3,0,0,Shia,420,0,52,43.513107,55.50873,0,0,8.4,15
127,23,Hasbaya,20130731,2118,614,1,0.947383486,0.025566504,0,1,0,0,Shia,0,0,53.8,21.555707,19.41733,0,0,18.7,16
114,10,Jbeil,20130731,635,441,1,1.333202214,0.041396799,0,1,2,0,Christian,0,0,33.7,42.359256,38.611687,0,0,15.8,12
124,20,Jezzine,20130731,1265,259,0,1.395362965,0.023233271,0,0,3,0,Christian,0,0,46.9,35.364942,43.77481,0,0,11,14
115,11,Kesrwane,20130731,2061,311,0,1.280370712,0.03348588,0,0,5,0,Christian,250,0,21.2,35.554401,28.075079,0,0,5.8,8
128,24,Marjayoun,20130731,2556,746,1,1.16529485,0.025340993,1,2,1,50,Shia,210,0,67.7,41.139924,68.81131,0,0,27.8,24
123,19,Rachaya,20130731,6846,85,0,1.490800374,0.053370977,0,1,0,0,Shia,0,0,51.9,7.847992,52.350942,1,0,24.1,14
125,21,Saida,20130731,28928,"8,988",2,1.691540193,0.026566716,2,2,1,100,Sunni-Shia,10650,59366,48.7,52.064769,50.700823,0,0,4.2,12
129,25,Sour,20130731,17802,"2,630",4,1.422224099,0.039492419,2,4,0,50,Shia,6860,65521,57.1,64.977793,77.925977,0,0,15,17
108,4,Tripoli,20130731,50120,"15,574",1,0.378143311,0.002360873,6,1,0,17,Sunni,292,0,50.9,34.866765,67.551419,0,13.2,3.6,14
121,17,West Bekaa,20130731,35093,"3,299",1,1.81004053,0.041346865,2,1,2,50,Sunni-Christian,612,0,49.1,17.822217,38.258904,1,0,6,16
117,13,Zahle,20130731,87426,"1,715",1,1.436099311,0.042478554,1,1,5,100,Christian,3430,0,44.1,9.580984,39.925452,1,0,5.6,12
109,5,Zgharta,20130731,8102,371,0,1.017068733,0.017382926,0,0,3,0,Christian,0,0,45.9,33.535049,64.511744,0,13.2,12.7,15
131,1,Akkar,20130830,NA,948,6,1.814552001,0.077486295,3,1,3,33,Sunni-Christian,2907,5857,62.1,9.793291,96.452576,3,0,31.9,30
146,16,Aley,20130830,NA,"1,552",0,1.257056328,0.025613854,0,2,3,0,Sunni-Christian,617,0,35.4,34.244362,16.39286,0,0,23.5,8
145,15,Baabda,20130830,NA,24,2,1.13148525,0.018996845,0,3,3,0,Shia-Christian,3456,17945,41,32.209187,16.310365,0,0,33.7,11
136,6,Baalbek,20130830,NA,567,8,3.072026614,0.226664239,2,4,0,50,Sunni-Shia,360,8806,57.7,14.839836,74.0737,1,0,28.1,18
139,9,Bcharre,20130830,NA,375,1,0.973276132,0.016045961,0,0,3,0,Christian,0,0,51.5,43.997805,60.008049,0,0,17,20
144,14,Beirut,20130830,NA,"18,565",1,0.341848904,0.002070821,6,3,9,50,Sunni-Christian-Shia,1584,10504,35.2,48.947627,0,0,0,2.6,9
156,26,Bent Jbeil,20130830,NA,821,0,1.098496896,0.026099903,0,3,0,0,Shia,1539,0,61.7,58.293626,82.472276,0,0,54.5,16
148,18,Chouf,20130830,NA,"7,436",2,1.739152947,0.046755258,2,2,4,100,Christian,2592,0,40.2,34.464741,26.661742,0,0,8.6,12
138,8,El Batroun,20130830,NA,"8,346",0,1.555127243,0.027290013,0,0,2,0,Christian,0,0,39.4,51.656298,46.765302,0,0,25.3,15
132,2,El Hermel,20130830,NA,"3,094",2,1.340072955,0.051881451,0,2,1,0,Shia,0,0,68.1,16.999875,92.293373,0,0,33.1,23
137,7,El Koura,20130830,NA,"4,082",0,0.90837981,0.017036429,0,0,3,0,Christian,0,0,34,45.838055,55.622361,0,0,53.9,9
142,12,El Meten,20130830,NA,740,0,1.10949199,0.025852128,0,0,1,0,Christian,1234,4351,28.6,33.564177,19.41733,0,0,6.8,9
133,3,El Minieh Dennie,20130830,NA,"4,389",1,1.386036482,0.035508031,3,0,0,0,Sunni,4285,16500,57.4,29.635658,73.874987,0,0,23.9,25
152,22,El Nabatieh,20130830,NA,"2,075",0,1.499313463,0.029458334,0,3,0,0,Shia,480,0,52,43.513107,55.50873,0,0,8.4,15
153,23,Hasbaya,20130830,NA,614,1,0.947383486,0.025566504,0,1,0,0,Shia,0,0,53.8,21.555707,19.41733,0,0,18.7,16
140,10,Jbeil,20130830,NA,441,1,1.333202214,0.041396799,0,1,2,0,Christian,0,0,33.7,42.359256,38.611687,0,0,15.8,12
150,20,Jezzine,20130830,NA,259,0,1.395362965,0.023233271,0,0,3,0,Christian,0,0,46.9,35.364942,43.77481,0,0,11,14
141,11,Kesrwane,20130830,NA,311,0,1.280370712,0.03348588,0,0,5,0,Christian,309,0,21.2,35.554401,28.075079,0,0,5.8,8
154,24,Marjayoun,20130830,NA,746,1,1.16529485,0.025340993,1,2,1,50,Shia,240,0,67.7,41.139924,68.81131,0,0,27.8,24
149,19,Rachaya,20130830,NA,85,0,1.490800374,0.053370977,0,1,0,0,Shia,0,0,51.9,7.847992,52.350942,1,0,24.1,14
151,21,Saida,20130830,NA,"8,988",2,1.691540193,0.026566716,2,2,1,100,Sunni-Shia,10944,59366,48.7,52.064769,50.700823,0,0,4.2,12
155,25,Sour,20130830,NA,"2,630",4,1.422224099,0.039492419,2,4,0,50,Shia,6926,65521,57.1,64.977793,77.925977,0,0,15,17
134,4,Tripoli,20130830,NA,"15,574",1,0.378143311,0.002360873,6,1,0,17,Sunni,383,0,50.9,34.866765,67.551419,0,0,3.6,14
147,17,West Bekaa,20130830,NA,"3,299",1,1.81004053,0.041346865,2,1,2,50,Sunni-Christian,648,0,49.1,17.822217,38.258904,1,0,6,16
143,13,Zahle,20130830,NA,"1,715",1,1.436099311,0.042478554,1,1,5,100,Christian,3672,0,44.1,9.580984,39.925452,1,0,5.6,12
135,5,Zgharta,20130830,NA,371,0,1.017068733,0.017382926,0,0,3,0,Christian,0,0,45.9,33.535049,64.511744,0,0,12.7,15
157,1,Akkar,20130930,82228,948,6,1.814552001,0.077486295,3,1,3,33,Sunni-Christian,2984,5857,62.1,9.793291,96.452576,3,9.6,31.9,30
172,16,Aley,20130930,24976,"1,552",0,1.257056328,0.025613854,0,2,3,0,Sunni-Christian,634,0,35.4,34.244362,16.39286,0,7.62,23.5,8
171,15,Baabda,20130930,40748,24,2,1.13148525,0.018996845,0,3,3,0,Shia-Christian,3548,17945,41,32.209187,16.310365,0,7.62,33.7,11
162,6,Baalbek,20130930,65509,567,8,3.072026614,0.226664239,2,4,0,50,Sunni-Shia,370,8806,57.7,14.839836,74.0737,1,12.3,28.1,18
165,9,Bcharre,20130930,1473,375,1,0.973276132,0.016045961,0,0,3,0,Christian,0,0,51.5,43.997805,60.008049,0,9.6,17,20
170,14,Beirut,20130930,16668,"18,565",1,0.341848904,0.002070821,6,3,9,50,Sunni-Christian-Shia,1626,10504,35.2,48.947627,0,0,2.5,2.6,9
182,26,Bent Jbeil,20130930,4963,821,0,1.098496896,0.026099903,0,3,0,0,Shia,1580,0,61.7,58.293626,82.472276,0,2.5,54.5,16
174,18,Chouf,20130930,30898,"7,436",2,1.739152947,0.046755258,2,2,4,100,Christian,2661,0,40.2,34.464741,26.661742,0,7.62,8.6,12
164,8,El Batroun,20130930,11102,"8,346",0,1.555127243,0.027290013,0,0,2,0,Christian,0,0,39.4,51.656298,46.765302,0,9.6,25.3,15
158,2,El Hermel,20130930,435,"3,094",2,1.340072955,0.051881451,0,2,1,0,Shia,0,0,68.1,16.999875,92.293373,0,9.6,33.1,23
163,7,El Koura,20130930,12192,"4,082",0,0.90837981,0.017036429,0,0,3,0,Christian,0,0,34,45.838055,55.622361,0,9.6,53.9,9
168,12,El Meten,20130930,23934,740,0,1.10949199,0.025852128,0,0,1,0,Christian,1267,4351,28.6,33.564177,19.41733,0,12.3,6.8,9
159,3,El Minieh Dennie,20130930,43763,"4,389",1,1.386036482,0.035508031,3,0,0,0,Sunni,4398,16500,57.4,29.635658,73.874987,0,9.6,23.9,25
178,22,El Nabatieh,20130930,19124,"2,075",0,1.499313463,0.029458334,0,3,0,0,Shia,493,0,52,43.513107,55.50873,0,0,8.4,15
179,23,Hasbaya,20130930,2854,614,1,0.947383486,0.025566504,0,1,0,0,Shia,0,0,53.8,21.555707,19.41733,0,12.3,18.7,16
166,10,Jbeil,20130930,938,441,1,1.333202214,0.041396799,0,1,2,0,Christian,0,0,33.7,42.359256,38.611687,0,12.3,15.8,12
176,20,Jezzine,20130930,1585,259,0,1.395362965,0.023233271,0,0,3,0,Christian,0,0,46.9,35.364942,43.77481,0,7.62,11,14
167,11,Kesrwane,20130930,3504,311,0,1.280370712,0.03348588,0,0,5,0,Christian,317,0,21.2,35.554401,28.075079,0,12.3,5.8,8
180,24,Marjayoun,20130930,3815,746,1,1.16529485,0.025340993,1,2,1,50,Shia,246,0,67.7,41.139924,68.81131,0,0,27.8,24
175,19,Rachaya,20130930,7971,85,0,1.490800374,0.053370977,0,1,0,0,Shia,0,0,51.9,7.847992,52.350942,1,12.3,24.1,14
177,21,Saida,20130930,34239,"8,988",2,1.691540193,0.026566716,2,2,1,100,Sunni-Shia,11236,59366,48.7,52.064769,50.700823,0,0,4.2,12
